Inputs,True Keywords,True Keywords in Abstract,Predictions
"This article integrates social network and exchange theory to develop a model of customer value based on three relational drivers: relationship quality (the caliber of relational ties), contact density (the number of relational ties), and contact authority (the decision-making capability of relational contacts). The results suggest that the value generated from interfirm relationships derives not only from the quality of customer ties (e.g., trust, commitment, norms), as is typically modeled, but also from the number and decision-making capability of interfirm contacts and the interactions among relational drivers. Moderator analysis of customer characteristics suggests that increasing contact density benefits sellers that have customers with high employee turnover rates, whereas building relationships with key decisions makers generates the highest returns among customers that are more difficult to access. The conceptual model of the impact of interfirm relational drivers on customer value receives support from dyadic data across 446 business-to-business exchanges.","['relationship marketing', 'interorganizational relationships', 'business-to-business marketing', 'network theory', 'customer valueNETWORK PARADIGM', 'PERSPECTIVE', 'PERFORMANCE', 'STRATEGIES', 'INVESTMENTS', 'INDICATORS', 'POSITION', 'TRUST', 'TIES']","['trust', 'ties']",customer value relationship interfirm trust
"Recent patterns of rapid internationalization in sectors characterized by strong public interest and both government and domestic capital constraints seem, at first, inconsistent with the drivers of internationalization identified by Buckley and Casson (1976) for manufacturing industries in the postwar era. A more microanalytic perspective, however, identifies the ability to manage institutional idiosyncrasies as a firm-level capability akin to research or advertising that can drive internalization across national borders and thereby internationalization. These arguments are examined using evidence from the independent power production sector.","['internationalization', 'political risk', 'institutionsINTELLECTUAL PROPERTY PROTECTION', 'CORPORATE POLITICAL STRATEGY', 'DIRECT FOREIGN-INVESTMENT', 'EMERGING MARKETS', 'POLICY', 'ENVIRONMENT', 'BEHAVIOR', 'EVENTS', 'IMPACT', 'FIRMS']",['internationalization'],firm
"A congruence model of organizational design suggests that direct reporting relationships between plant managers and environmental quality managers, monetary incentives for environmental performance, and coordination between environmental quality managers and business strategists reduce plant-level toxic emissions. We tested these relationships in a large sample of U.S. electronics facilities. Only a link between plant manager compensation and environmental performance reduced emissions. Subsequent analyses support a reverse causality, suggesting organizational characteristics result from (rather than cause) emissions performance and that firms remain reactive on environmental issues. These findings confront theories of environmental management and congruence with provocative questions, which we discuss in depth.","['nanMANAGEMENT', 'GREEN', 'COMPANIES', 'IMPACT', 'ISSUES']",['issues'],
"To develop a body of evidence-based knowledge on entrepreneurship, findings and contributions from the positivist, narrative, and design research traditions in this area need to be combined. Therefore, a framework for research synthesis in terms of social mechanisms, contextual conditions, and outcome patterns is developed in this paper. Subsequently, a synthesis of the existing body of research findings on entrepreneurial opportunities serves to illustrate how this framework can be applied and provides results that inform entrepreneurial action. Finally, we discuss how this synthetic approach serves to systematically connect the fragmented landscape of entrepreneurship research, and thus gradually build a cumulative and evidence-based body of knowledge on entrepreneurship.","['nan2010 AMR DECADE', 'OPPORTUNITY RECOGNITION', 'SOCIAL CONSTRUCTION', 'EMBEDDED AGENCY', 'PRIOR KNOWLEDGE', 'BUSINESS', 'MANAGEMENT', 'SCIENCE', 'IDENTIFICATION', 'DESIGN']",['design'],framework social mechanisms
"When a sales representative (rep) leaves a business-to-business firm, a crucial link with the rep's customers becomes severed. The firm reassigns those customers to different sales reps (either existing reps or new hires) in amanner that mitigates potential sales losses. What causal effect do sales rep departures have on customer-level revenue, and which sales rep replacement strategies are more effective? Using data from a Fortune 500 firm and a difference-indifferences analysis with correction for selection bias, the authors show that sales rep transitions lead to 13.2%-17.6% losses in annual sales. New hires are less effective than existing sales reps in mitigating sales losses. Existing sales reps who are similar (vs. dissimilar) to the departing reps (in terms of past industry experience) are more effective in mitigating sales losses; however, reps with high past performance do not exhibit greater efficacy for mitigating sales losses than reps with average or low past performance. The analysis presents means to quantify the economic consequences of losing a sales rep and to determine how to reassign customers to sales reps according to the resulting economic impact.","['business-to-business marketing', 'customer assignment strategies', 'causal inference', 'difference-in-differences', 'sales representative departureSAMPLE SELECTION BIAS', 'EMPLOYEE TURNOVER', 'JOB-SATISFACTION', 'SALESPEOPLE', 'PERFORMANCE', 'TRUST', 'KNOWLEDGE', 'DETERMINANTS', 'METAANALYSIS', 'COMPETITION']",['performance'],performance
"Collaborative filtering (CF) techniques are becoming very popular on the Internet and are widely used in several domains to cope with information overload. E-commerce sites use filtering systems to recommend products to customers based on the preferences of like-minded customers, but their systems do not protect user privacy. Because users concerned about privacy may give false information, it is not easy to collect high-quality user data for collaborative filtering, and recommendation systems using poor data produce inaccurate recommendations. This means that privacy measures are key to the success of collecting high-quality data and providing accurate recommendations. This article discusses collaborative filtering with privacy based on both correlation and singular-value decomposition (SVD) and proposes the use of randomized perturbation techniques to protect user privacy while producing reasonably accurate recommendations. Such techniques add randomness to the original data, preventing the data collector (the server) from learning private user data, but this scheme can still provide accurate recommendations. Experiments were conducted with real datasets to evaluate the overall performance of the proposed scheme. The results were used for analysis of how different parameters affect accuracy. Collaborative filtering systems using randomized perturbation techniques were found to provide accurate recommendations while preserving user privacy.","['accuracy', 'collaborative filtering', 'privacy', 'randomized perturbation', 'SVDnan']","['accuracy', 'collaborative filtering', 'collaborative filtering', 'privacy', 'randomized perturbation', 'randomized perturbation']",collaborative filtering
"Despite a long history of independent sales and service functions within organizations, customers are pressuring organizations to rethink their sales and service operations. Specifically, customers expect organizations to offer a single face'' of the firm rather than being forced to interact with multiple agents across both sales and service throughout their relationships. As firms attempt to meet these customer demands, they have countless options to integrate sales and service operations, but little is known about which strategies are most effective. This article attempts to shed new light into the challenges and potential benefits of salesservice integration, in an effort to spur research in this area and better inform this managerial challenge. Specifically, we formalize the concept of the sales-service interface, discuss how it relates to sales-service ambidexterity, and identify several opportunities for future research. Given the complexity of the sales-service interface, we contend that future researchers must view these issues through a multilevel lens and, as a result, we focus on identifying opportunities ideally suited for testing in a multilevel environment. The goal of this article is to provide a platform for researchers to tackle this challenging problem and generate new insights into how best to meet customer's evolving demands.","['sales-service interface', 'ambidexterity', 'multilevel', 'dynamic capabilitiesR-AND-D', 'CUSTOMER SATISFACTION', 'AMBIDEXTROUS ORGANIZATIONS', 'RESEARCH PRIORITIES', 'MODERATING ROLE', 'MEDIATING ROLE', 'ROLE-CONFLICT', 'PERFORMANCE', 'CAPABILITIES', 'SELF']","['sales service interface', 'sales service interface', 'sales service interface', 'ambidexterity', 'multilevel']",firm sales service interface service ambidexterity
"New venture companies, starting from small entities comprising entrepreneurs and their teams, start to grow in scale by instigating formalized processes to enhance management efficiency. This includes the use of formalized processes for collecting and disseminating market information. Despite the fact that utilizing market information is one of the fundamental factors of market orientation, little is known about the way market information is processed in new venture companies. The first aim of this research was to investigate the impact of formalized market information acquisition and utilization on new venture performance. The second objective was to investigate the effect of organizational formalization on the acquisition and utilization of market information in new venture firms. The final goal was to explore the extent to which these relationships vary in different cultural contexts. Based on an extensive literature review and interviews with managers in China, Japan, and the United States, a conceptual framework is developed that relates formalized market information processes to new venture performance in the three countries. The conceptual model is tested with data collected from 453 new venture companies in these countries. The results suggest that the use of a formalized process of market information utilization has a positive effect on new venture performance regardless of country. The analysis also indicates that the effect of organizational formalization, in general, differs between countries. Organizational formalization is associated with increased formalized utilization of market information only in the United States; the relationship does not apply in the two Asian countries studied. Taken together, these results suggest that in the Asian countries, organizational formalization improves information collection, while in the United States, it also improves the utilization of information throughout the organization. One implication of these results may be the potential of added benefits accruing to organizational formalization in new ventures in countries with high levels of individualism and/or high levels of power distance, where organizational power is concentrated in formal vertical reporting relationships, as opposed to informal horizontal peer-to-peer networks.","['nanSMALL BUSINESS', 'ORIENTATION', 'ENTREPRENEURSHIP', 'ANTECEDENTS', 'INNOVATION', 'CONSTRUCT']",['orientation'],orientation firms
"Most studies of harmful workplace behavior have focused on the motives or characteristics of perpetrators. In contrast, the present study draws from theories of victimization to examine when employees are move likely to perceive themselves as targets of co-workers' aggressive actions. individual and organizational structural variables were related to perceived victimization based on prior theory and research. The individual variable was conflict management style; the structural variable was hierarchical status. Direct relationships between the conflict styles and perceived victimization were predicted The moderating effect of hierarchical status was also tested Results supported the direct effect of an obliging style on covert aggressive actions. An interaction involving both integrating and obliging styles and hierarchical status was supported for direct forms of interpersonal aggression. (C) 2000 Elsevier Science Inc. All rights reserved.","['nanHANDLING INTERPERSONAL CONFLICT', 'VIOLENCE', 'POWER', 'WORK', 'FIT']",['work'],behavior
"Purpose - This case study aims to examine the role of demand management in balancing distribution efficiency and responsiveness to customer needs in the downstream of a retail supply chain. Design/methodology/approach - A major machine part supplier in Australia is used as a case study to investigate the challenges faced by the industry in distributing goods to customers. The use of demand management techniques to help improve distribution efficiency without significantly impacting on responsiveness is also explored. Findings - The findings of the case study reveal that appropriate demand management measures, such as customer segmentation and price discrimination, can help improve overall distribution efficiency of the supply chain while providing the required responsiveness to meet genuine customer needs. Other management attempts, such as vendor-managed inventory and rationalisation of retail network, can facilitate demand aggregation and improve vehicle utilisation in distribution with minor impact on customer service. These changes require a full understanding of customer requirements and supply capabilities of the company as well as corresponding adjustments in business strategy, leadership style, and organisational culture. Research limitations/implications - This study lends insight into the use of demand management techniques to improve efficiency in downstream wholesale and retail distribution, thereby enhancing sustainability and profitability of business. To serve mainly as a case study and an illustration of the approach, the scope of the study is limited to six stores in the distribution network of the case company. Practical implications - Retailers can explore the use of demand management techniques to increase distribution efficiency and hence competitiveness of the company. The approach can also assist managers in adopting best practices among stores and facilitate more effective allocation of distribution resources to serve different market segments. Social implications - Using demand management techniques to increase distribution efficiency can reduce delivery frequency and total travel distance. This will help lessen energy usage, carbon emission, traffic congestion, and other negative impacts on the environment. Originality/value - Research in retail distribution efficiency to date focuses mainly on delivery optimisation through routing and scheduling. Attempts to link demand with supply and use demand management techniques to improve distribution efficiency are relatively limited. This paper fills the gap in the literature by investigating the value of demand management in distribution and explores empirically the significance of the approach to achieve higher wholesale and retail distribution efficiency.","['Demand management', 'Customer segmentation', 'Price discrimination', 'Retail supply chain', 'Distribution', 'Efficiency', 'Distribution management', 'Process efficiencySUPPLY CHAIN INTEGRATION', 'MARKET-SEGMENTATION', 'REVERSE LOGISTICS', 'CONSOLIDATION', 'STRATEGIES', 'INVENTORY', 'INDUSTRY', 'SYSTEMS', 'DESIGN']","['demand management', 'demand management', 'customer segmentation', 'customer segmentation', 'price discrimination', 'price discrimination', 'retail supply chain', 'retail supply chain', 'retail supply chain', 'distribution', 'efficiency', 'inventory', 'industry', 'design']",demand management distribution efficiency australia
"Research summary: Attaining optimal distinctiveness-positive stakeholder perceptions about a firm's strategic position that reconciles competing demands for differentiation and conformity-has been an important focal point for scholarship at the interface of strategic management and institutional theory. We provide a comprehensive review of this literature and situate studies on optimal distinctiveness in the broader scholarly effort to integrate institutional theory into strategic management. Our review finds that much extant research on firm-level optimal distinctiveness is grounded in the strategic balance perspective that conceptualizes conformity and competitive differentiation as a trade-off along a single organizational attribute. We argue for a renewed research agenda that draws on recent developments in institutional theory to conceptualize organizational environments as more multiplex, fragmented, and dynamic, and discuss its implications for core strategic management topics. Managerial summary: This article aims to provide managers with a more comprehensive and contemporary view of how firms can become optimally distinct-being different enough from peer firms to be competitive, but similar enough to peers to be recognizable. We aim to equip managers with an understanding of firms as complex, multidimensional entities, and encourage them to identify and orchestrate various types of strategic resources to reconcile conformity versus differentiation tensions, address the multiplicity of stakeholder expectations, and aptly modify their positioning strategies in order to succeed in dynamic environments. Copyright c 2016 JohnWiley & Sons, Ltd.","['optimal distinctiveness', 'differentiation', 'conformity', 'legitimacy', 'strategic balance', 'institutional theoryREAL OPTIONS LOGIC', 'TRANSACTION COST', 'JOINT VENTURES', 'OPERATIONAL FLEXIBILITY', 'EQUITY ALLIANCES', 'CAREER MOBILITY', 'GROWTH OPTIONS', 'MARKET ENTRY', 'FIRM', 'CHOICE']","['optimal distinctiveness', 'optimal distinctiveness', 'differentiation', 'conformity', 'strategic balance', 'strategic balance', 'firm']",distinctiveness firm institutional theory
"Experiential purchases, such as movies, theme parks, and vacations, represent a unique, and exceedingly popular, type of marketing behavior. Despite the increasing popularity of purchased experiences, the question of what makes one experiential purchase superior to another remains elusive. Using a multimethod, grounded theory approach, the authors perform two qualitative studies that reveal high-quality experiential purchases are composed of five dimensions: uniqueness, fun, escapism, servicescape quality, and social congruence. Next, an empirical model of experiential purchase quality (EPQ) and its outcome variables is tested in two different settings. The results find support for the EPQ conceptualization and uncover that a high-quality experiential purchase can positively influence braggart word of mouth, nostalgia, and self-connectedness to the experience while also lowering price consciousness perceptions to repeat the experience. A comparison of short and long experiences found that customers put a heavier weighting on concepts such as escapism and social congruence in shorter experiences where longer experiences had a heavier emphasis on the servicescape and perceptions of fun. From a managerial perspective, our results highlight that a one-size-fits all approach in experiential management is problematic. Managers need to understand that customers have different evaluative criteria depending on the length of an experiential purchase.","['experiential purchases', 'experiential marketing', 'nostalgia', 'braggart behavior', 'social congruence', 'servicescapeMULTIPLE-ITEM SCALE', 'PERCEPTIONS', 'CONSUMPTION', 'NOSTALGIA', 'HAPPINESS', 'MODELS', 'MATERIALISM', 'PERSPECTIVE', 'ATTACHMENT', 'RESPONSES']","['experiential purchases', 'experiential purchases', 'nostalgia', 'social congruence', 'social congruence', 'perceptions', 'nostalgia', 'perspective']",experiential purchases quality escapism nostalgia
"Marketing adaptation strategy has been characterized as a strategic imperative in markets with protectionist and nationalist sentiments, which underscores the need to better understand the effects of adaptation strategy. However, empirical investigations of international marketing strategy have considered mandatory and discretionary adaptations as equivalent. Discretionary adaptations, unlike mandatory adaptations, involve choice; thus, they are more relevant to the selection of an international marketing strategy. This article focuses on the direct and conditional effects of discretionary adaptation on export performance. Analyzing data from 203 U.S. small and medium-sized enterprises, the authors find a positive effect of discretionary adaptation on export performance as well as moderating effects of (1) a market characteristic (psychic distance), (2) a firm characteristic (international experience), and (3) a product characteristic (product positional advantage). The implications suggest that adaptation strategy may be more advantageous than previously thought, and that researchers should focus on discretionary adaptations when investigating the choice of a relatively standardized versus adapted international marketing strategy.","['discretionary adaptation', 'international marketing strategy', 'export performance', 'small and medium-sized enterprisesINTERNATIONAL MARKETING-STRATEGY', 'POSITIONAL ADVANTAGE', 'PSYCHIC DISTANCE', 'PRODUCT PERFORMANCE', 'CULTURAL DISTANCE', 'FIRM PERFORMANCE', 'FOREIGN-MARKET', 'SERVICE FIRMS', 'STANDARDIZATION', 'FIT']","['discretionary adaptation', 'discretionary adaptation', 'international marketing strategy', 'international marketing strategy', 'international marketing strategy', 'export performance', 'export performance', 'positional advantage', 'positional advantage', 'psychic distance', 'psychic distance']",international choice distance international marketing strategy
"In this paper we examine how the interaction between influences of commercial banking and poverty alleviation shaped the evolution of modern microfinance. Using institutional theory as a lens, we observe that the commercial banking logic increasingly displaced the microfinance field's foundational poverty alleviation and development principles over time. We argue that this process of displacement can occur inadvertently as organizations that embody multiple logics draw disproportionately on only one of those logics when developing legitimating accounts of their activity to stakeholders. Furthermore, we introduce the concept of permeability - the extent to which the elements of a logic are ambiguous and loosely coupled - to explain why some logics may be more or less open to the influence of other logics. We conclude by discussing implications for entrepreneurship and poverty alleviation more generally. (C) 2013 Elsevier Inc. All rights reserved.","['Microfinance', 'Institutional theory', 'PovertyINSTITUTIONAL LOGICS', 'ORGANIZATIONS', 'INDUSTRY', 'WORK', 'ENTREPRENEURSHIP', 'TRANSFORMATION', 'GOVERNANCE', 'STRATEGIES', 'BOUNDARY', 'FIELD']","['microfinance', 'institutional theory', 'institutional theory', 'organizations', 'entrepreneurship', 'field']",commercial banking poverty alleviation microfinance logics
"How universal are resource-based advantages? In this study, the authors suggest that differences in nations' institutional environments may influence the applicability of resource-based advantages; for this reason, the effectiveness of such advantages may vary cross-nationally. They hypothesize and find that adding the moderating influence of national institutional environment to a resource-based perspective better explains strategic decisions (entry mode choice) in an international context than does a mere resource-based approach. The analysis also shows that decisions predicted by a model incorporating both perspectives yield better subsidiary performance. Thus, results suggest that, at least in an international setting, resource-based advantages appear to be context specific. Based on these results, the authors conclude that considering country-specific contextual influences on the value of resource-based advantages allows firms to make strategic decisions that improve international subsidiary performance.","['resource-based view', 'institutional theory', 'context specificity', 'performance', 'dynamic capabilitiesENTRY MODE CHOICE', 'TRANSACTION COST', 'FIRM CAPABILITIES', 'FOREIGN-MARKET', 'VIEW', 'PERFORMANCE', 'STRATEGY', 'EXPLOITATION', 'ENVIRONMENTS', 'COOPERATION']","['performance', 'performance', 'environments']",resource based advantages entry mode choice
"Are romance movies more desirable when people are cold? Building on research on (bodily) feeling-as-information and embodied cognition, we hypothesize that physical coldness activates a need for psychological warmth, which in turn leads to an increased liking for romance movies. Four laboratory experiments and an analysis of online movie rental data provide support for our hypothesis. Specifically, studies 1A and 1B show that physical coldness increases the liking of and willingness to pay for romance movies. Study 2 shows that the effect of physical coldness on liking of romance movies only occurs for people who associate romance movies with psychological warmth. Study 3 shows that people correct for the influence of physical coldness on their liking of romance movies when physical coldness is made salient. In study 4, using data on online movie rentals and historical temperature, we found a negative relationship between weather temperature and preference for romance movies.","['nanEMBODIMENT', 'COGNITION', 'SADNESS', 'CULTURE', 'ANXIETY', 'MOOD', 'SELF']",['cognition'],romance physical coldness psychological warmth temperature
Extreme cherry pickers are customers who seek price deals and excessively avail themselves of deep discount offers which generates negative profits for retailers This study uses market transaction and primary consumer survey data to provide insights into the determinants prevalence and profit impacts of such behavior in the frequently purchased goods market We find that the extreme cherry picking segment is small (about 2% of all shoppers) but its relative value vanes across stores and consumers manifest this behavior only in secondary stores An inverse U shaped relationship marks consumers opportunity costs for cross-store price search and likelihood of extreme cherry picking behavior Finally we also find that a loss leader promotional strategy adds to retailers bottom lines despite the pure loss generated by extreme cherry pickers (C) 2010 New York University Published by Elsevier Inc All rights reserved,"['Price search', 'Loss leader promotions', 'Profit impact', 'Shopping trip incidence modelsPRICE PROMOTIONS', 'STORE PERFORMANCE', 'SEARCH', 'MODEL', 'DETERMINANTS', 'INFORMATION', 'RETAILER', 'KNOWLEDGE', 'CATEGORY', 'INSIGHTS']","['price search', 'price search', 'profit impact', 'profit impact', 'search', 'determinants', 'retailer', 'insights']",impacts behavior search
"Recent research has conceptualized legitimacy as a multi-level phenomenon comprising propriety and validity. Propriety refers to an individual evaluator's belief that a legitimacy object is appropriate for its social context, whereas validity denotes an institutionalized, collective-level perception of appropriateness. In this article, we refine this multi-level understanding of legitimacy by adding a third, meso-level construct of 'consensus', which we define as the agreement between evaluators' propriety beliefs. Importantly, validity and consensus are distinct and can be incongruent, given that an institutionalized perception can hide underlying disagreement. Disentangling validity from consensus is a crucial extension of the multi-level theory of legitimacy, because it enables an improved understanding of the legitimacy processes that precede sudden and unanticipated institutional change. In particular, while previous works considered revised propriety beliefs as the starting point for institutional change, our account emphasizes that the disclosure of the actual (vs. merely assumed) belief distribution within a social context may instigate institutional change. To study the interplay of propriety, validity, and consensus empirically, we propose a set of experimental designs specifically geared towards improving knowledge of the role of legitimacy and its components in institutional change.","['consensus', 'experiments', 'institutional change', 'legitimacy', 'microfoundations', 'propriety', 'validityORGANIZATIONAL LEGITIMACY', 'SOCIAL MEDIA', 'PLURALISTIC IGNORANCE', 'RHETORICAL STRATEGIES', 'INSTITUTIONAL THEORY', 'MANAGING LEGITIMACY', 'EMOTIONAL-REACTIONS', 'PUBLIC-OPINION', 'MODEL', 'MANAGEMENT']","['consensus', 'institutional change', 'institutional change', 'legitimacy', 'propriety']",legitimacy propriety institutional change institutional change
"In this paper, we examine how employee mobility impacts the human capital of both those who are new to the organization (movers) and those who are existing members (incumbents). Employee mobility events can disrupt both the location-specific and the colleague-specific components of human capital and thus have different impacts on overall human capital. We test our theory on the disparate effects of location change and personnel change on human capital in the highly interdependent context of the National Basketball Association. We find that movers experience adverse performance shocks after mobility events that are moderated when moving as a group, and we also find that group mobility events hinder the performance improvement of incumbents. Our findings are consistent with the limited transfer of location-specific human capital and the disruption of colleague-specific human capital after mobility events.","['knowledge transfer/replication', 'strategic HRM', 'groups/group processes/dynamics', 'teamsCOMPETITIVE ADVANTAGE', 'EMPLOYEE MOBILITY', 'PERFORMANCE', 'KNOWLEDGE', 'EXPERIENCE', 'RESOURCE', 'FIRMS', 'JOB', 'ENTREPRENEURSHIP', 'METAANALYSIS']","['employee mobility', 'employee mobility', 'performance', 'experience']",mobility
"Over the past decade, knowledge management (KM), as a concept and a set of practices, has penetrated into the fabric of organizational and managerial processes in the healthcare sector, which has been the site of numerous innovative KM practices. As a result scholars from a range of academic (and non-academic) fields have begun to document how KM is conceived and practised in health care, what the recurrent issues are and how they can be addressed. The purpose of this paper is to review the current literature on KM concepts, policies and practices in the healthcare sector. Based on the analysis of the most relevant contributions in the last six years, three overarching themes that have occupied the interests of authors are identified and discussed: the nature of knowing in the healthcare sector, the type of KM tools and initiatives that are suitable for the healthcare sector, and the barriers and enablers to the take up of KM practices. The paper concludes with some considerations on what the literature tells us about the state of the art and the future of KM in this important sector of Western economies.","['nanDECISION-SUPPORT-SYSTEMS', 'REFLECTIVE PRACTICE', 'CLINICAL-PRACTICE', 'MANAGEMENT', 'NETWORKS', 'COMMUNITIES', 'QUALITY', 'NHS', 'TRANSLATION', 'PERFORMANCE']",['management'],knowledge healthcare care
"Self-service technologies (SSTs), such as in-store kiosks, are increasingly prevalent and becoming a critical component of marketing. Researchers and practitioners alike have recognized the need to understand the effectiveness of these computer-based innovations for self-services-in particular, how to strengthen customers' perceived control over and evaluations of SSTs. Drawing on the resource-matching theory and the technology-based services and self-services literature, the authors hypothesize the interactive effects of two SST design features-namely, comparative information and interactivity-on customers' perceived control and interface evaluations. The authors then propose that the interaction pattern is further moderated by two individual traits: prior experience and technology readiness. The hypotheses are tested in two separate computer-based experiments with representative samples of the general U.S. population in a shopping environment. The findings support the hypotheses, enhancing knowledge in this emerging domain and providing important implications for managers and researchers.","['self-service technology effectiveness', 'comparative information', 'interactivity', 'experience', 'technology readiness', 'resource-matching theoryCONSUMER', 'QUALITY', 'ENVIRONMENTS', 'DIMENSIONS', 'PERSUASION', 'EXPERIENCE', 'RESOURCES', 'KNOWLEDGE', 'DELIVERY', 'BEHAVIOR']","['comparative information', 'comparative information', 'interactivity', 'experience', 'technology readiness', 'technology readiness', 'experience', 'knowledge']",based innovations technology based services experience technology readiness
"Organizational noncompliance with legal rules can be consequential. The antecedents of such noncompliance as well as the remediation of it thus remain enduring subjects of research inquiry. However, prior studies have implicitly treated all rules alike. In contrast, we argue that rules are not all the same and that differences between rules might be systematically linked to variations in the likelihoods of noncompliance and remediation across the range of organizations under the purview of a rule system. We consider the role of two fundamental but distinct sources of rule complexity: components (i.e., sections that compose a rule) and connections (i.e., functional links to other rules in the same system). We analyzed data from 81,266 rule-level observations from 1,011 health inspections of 289 restaurants in Santa Monica, California, conducted from 2007 to 2010. As hypothesized, increases in either source of rule complexity were associated with higher probabilities of noncompliance. Unexpectedly, however, the two sources of rule complexity had divergent effects on remediation such that increases in the number of connections were associated with higher probabilities of repeated noncompliance, whereas increases in the number of components were not. Taken together, we suggest that our understanding of noncompliance and remediation can be enhanced by viewing them both as rule-level phenomena. A range of implications for theory and practice are discussed.","['noncompliance', 'remediation', 'legal rules', 'organizational routines', 'organizational learning', 'regulatory inspectionsTASK COMPLEXITY', 'SAFETY CLIMATE', 'SOCIAL-CONTROL', 'ROUTINES', 'MODEL', 'CAPABILITIES', 'HYGIENE', 'FIRM', 'CONSEQUENCES', 'INFORMATION']","['noncompliance', 'remediation', 'legal rules', 'legal rules']",organizational noncompliance rule complexity
"Large firms differ from smaller firms in many aspects. In this research note, we investigate the relationship between the size of firm and the characteristics of equity joint ventures (EJVs). Empirically, we found that very large firms are more likely to have a higher equity stake in their EJVs, seek alignment with other foreign firms, engage in global industries, and invest in large-scale EJV's than smaller firms. They are also less affected by the risk conditions of the host country. Empirical testing is based on a sample of 1,298 foreign EJVs in the People's Republic of China between 1981 and 1998. Interesting differences exist among firms that are U.S., Japan, and Europe.","['nanUNITED-STATES', 'CHINA', 'PERFORMANCE', 'STRATEGY', 'DETERMINANTS', 'JAPANESE', 'SIZE']","['china', 'size']",equity joint ventures china
"This paper examines the relationships of job attitudes (facets of job satisfaction and organizational commitment) and personality characteristics to absenteeism, in five manufacturing companies in Barbados, an English-speaking Caribbean country. The relationships examined are based on well-established theories from the developed world, especially the USA. In addition, individualism, uncertainty avoidance, and power distance were measured. The results show that an employee's levels of satisfaction with co-workers, activity, responsibility, and job security, as well as loyalty to the organization, are related to absenteeism. These results are similar to those found in past research in the developed world. The most important single predictor of absence was satisfaction with co-workers. Respondents were moderate on individualism, high on uncertainty avoidance, and low on power distance. The cultural scores are used to help interpret the results. The implications of the results are discussed in terms of expanding the reach of an established theory, and relative to decreasing absenteeism in Barbados. (c) 2007 Elsevier Inc. All rights reserved.","['job satisfaction', 'organizational commitment', 'personality characteristics', 'cultural values', 'absenteeismORGANIZATIONAL COMMITMENT', 'METHODOLOGICAL ISSUES', 'EMPLOYEE ABSENTEEISM', 'ROLE-CONFLICT', 'WORK LOCUS', 'SATISFACTION', 'TURNOVER', 'ABSENCE', 'COLLECTIVISM', 'PERSONALITY']","['job satisfaction', 'job satisfaction', 'organizational commitment', 'organizational commitment', 'personality characteristics', 'personality characteristics', 'satisfaction', 'absence', 'personality']",absenteeism co workers absence
"Results from four studies uncover a relatively automatic cultural congruency mechanism that can influence evaluations of culturally charged brand extensions, overriding the impact of perceived fit on extension evaluations. Culturally congruent extensions (i.e., when both the brand and the extension category cue the same cultural schema) were evaluated more favorably than culturally neutral extensions, which in turn were evaluated more favorably than culturally incongruent ones (i.e., cue two different cultural schemas). The effects emerged with both moderate and low fit brand extensions, as well as for narrow and broad brands. However, they only emerged when both the brand and the product were culturally symbolic, likely to automatically activate a cultural schema but did not emerge for brands low in cultural symbolism. The effects were driven by the processing (dis) fluency generated by the simultaneous activation of the same (different) cultural schemas by the product and the brand.","['nanINCIDENTAL AD EXPOSURE', 'PRODUCT EVALUATIONS', 'REGULATORY FIT', 'ORIGIN', 'EXTENSIONS', 'COUNTRY', 'PERCEPTIONS', 'PERSPECTIVE', 'FLUENCY', 'IMPACT']","['extensions', 'fluency', 'impact']",brand extensions symbolism
"Unlike prior research that has confined customer rage to a single point in time, this article explores the unfolding of rage over three time periods, at the initial service failure (Episode 1) and two ineffective service recovery attempts (Episodes 2 and 3). In each episode, we examine the association between loss, or a threat of loss, of personal resources (e.g., self-esteem, sense of justice, sense of control, and economic resources such as time and money) and negative emotions. We empirically demonstrate for the first time that although rage may sometimes take place at the initial service failure (Episode 1), rage does not tend to be an immediate reaction. Rather, it is when service failures remain unresolved that residual negative emotions are carried forward into the next episode, so that rage is dominant in Episodes 2 and 3. This carryover of negative emotion spirals with more resources being threatened, propelling the customer into rage. The authors offer a methodological contribution demonstrating the dynamic nature of appraisals and emotions in a sequence of related episodes in the elicitation of rage. Finally, differences between U.S. and Thai responses are discussed with important theoretical and managerial implications.","['customer rage', 'emotions', 'anger', 'customer experience', 'service failure and recoverySERVICE ENCOUNTERS', 'EMOTION REGULATION', 'RECOVERY', 'FAILURE', 'CULTURE', 'IMPACT', 'SELF', 'CONSERVATION', 'SATISFACTION', 'EXPERIENCE']","['customer rage', 'customer rage', 'emotions', 'recovery', 'failure', 'self']",emotions
"We present a theoretical model of international assignments in which we examine the alignment or nonalignment of the organization's and the individual's expectations of an assignment and its effect on assignment success. We consider four basic configurations in our model-mutual loyalty; mutual transaction, agent opportunism, and principal, opportunism-and present a matrix of organization-individual alignment to help predict varying degrees of success in expatriate assignment and in repatriation. Finally, we apply this matrix as a framework for understanding changes in the employment contract over time.","['nanREPATRIATION ADJUSTMENT', 'EXPATRIATE', 'EMPLOYEES', 'FRAMEWORK', 'SELECTION', 'MANAGERS', 'RESOURCE', 'EXPATS', 'ISSUES']","['expatriate', 'framework']",repatriation
